id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp000bqjg,2003-02-12 23:40:19.880000+00:00,2.7,mblg,0.0,28.094,-16.145,178.221,796.085
usp000brnv,2003-02-28 16:42:14.600000+00:00,2.7,mblg,10.3,28.133,-16.194,172.264,769.474
usp000brrz,2003-03-02 00:07:46.240000+00:00,3.1,mblg,31.0,27.993,-16.164,180.527,508.793
usp000bs4q,2003-03-07 12:31:14.710000+00:00,2.5,mblg,0.0,28.367,-15.891,195.166,1097.501
usp000btcq,2003-03-24 05:32:44.480000+00:00,2.5,mblg,0.0,28.449,-15.088,272.305,1531.282
usp000btd3,2003-03-24 08:11:20.220000+00:00,2.5,mblg,0.0,28.206,-16.371,153.232,861.69
usp000btf7,2003-03-25 03:11:34.590000+00:00,2.3,mblg,0.0,28.069,-16.142,179.438,1270.32
usp000btta,2003-03-29 20:04:54.110000+00:00,2.3,mblg,10.8,27.781,-16.725,145.28,1028.504
usp000buf6,2003-04-05 17:46:41.290000+00:00,2.9,mblg,24.0,28.024,-16.184,177.391,629.407
usp000bufp,2003-04-05 20:54:58.110000+00:00,2.2,mblg,28.5,28.086,-16.226,171.043,1358.64
usp000buq2,2003-04-08 10:43:21.860000+00:00,2.9,mblg,0.0,28.034,-16.225,173.24,614.678
usp000buut,2003-04-10 04:50:57.840000+00:00,2.3,mblg,27.8,28.147,-16.189,172.244,1219.391
usp000bw5w,2003-04-28 23:22:40.970000+00:00,3.3,mblg,23.8,28.215,-16.192,169.784,380.099
usp000bwq4,2003-05-06 06:29:57.890000+00:00,4.2,mblg,21.3,27.72,-18.107,102.156,81.145
usp000bxfs,2003-05-18 18:45:34.190000+00:00,2.6,mblg,3.3,28.087,-16.113,181.445,909.378
usp000by0f,2003-05-24 04:26:18.350000+00:00,1.9,mblg,0.0,28.224,-16.331,156.4,1754.835
usp000by58,2003-05-25 22:19:49.470000+00:00,2.9,mblg,26.8,28.099,-16.235,169.712,602.162
usp000by7f,2003-05-26 17:03:28.030000+00:00,2.4,mblg,0.0,28.182,-16.136,176.073,1110.945
usp000bzay,2003-06-07 22:59:52.420000+00:00,1.9,mblg,0.0,28.119,-16.501,144.572,1622.126
usp000bzg0,2003-06-09 14:31:21.060000+00:00,1.9,mblg,0.0,28.103,-16.184,174.276,1955.407
usp000bzh3,2003-06-10 00:09:13.910000+00:00,2.3,mblg,0.0,27.985,-17.831,69.968,495.337
usp000bzv4,2003-06-14 15:00:26.760000+00:00,1.2,mblg,13.4,28.081,-16.233,170.595,4285.14
usp000c01h,2003-06-16 21:40:21.340000+00:00,1.6,mblg,24.2,28.181,-16.177,172.245,2729.902
usp000c067,2003-06-18 17:56:01.770000+00:00,2.3,mblg,33.6,27.636,-18.161,112.522,796.593
usp000c0ks,2003-06-22 09:58:36.780000+00:00,1.6,mblg,0.0,28.088,-16.201,173.269,2746.125
usp000c2nj,2003-07-16 16:47:09.430000+00:00,1.8,mblg,15.1,28.206,-16.205,168.828,2125.419
usp000c2uh,2003-07-18 21:54:31.550000+00:00,2.0,mblg,24.1,28.041,-16.152,179.617,1796.17
usp000c39s,2003-07-25 05:47:33.130000+00:00,2.3,mblg,16.3,28.041,-16.166,178.335,1262.514
usp000c3mh,2003-07-29 03:47:08.920000+00:00,2.9,mblg,27.5,28.119,-16.214,170.907,606.402
usp000c4hy,2003-08-10 06:29:49.650000+00:00,2.0,mblg,0.0,29.036,-16.235,165.905,1659.048
usp000c4pf,2003-08-12 11:23:46.190000+00:00,1.8,mblg,10.0,28.126,-16.204,171.582,2160.094
usp000c5bv,2003-08-19 12:25:24.520000+00:00,2.3,mblg,0.0,28.174,-16.176,172.563,1221.655
usp000c67g,2003-08-29 20:12:01.630000+00:00,1.3,mblg,1.8,28.19,-14.969,287.555,6437.556
usp000c6ab,2003-08-30 20:28:25.660000+00:00,2.0,mblg,15.2,28.198,-16.289,161.178,1611.785
usp000c6ac,2003-08-30 20:28:40.830000+00:00,2.5,mblg,20.0,28.129,-16.147,176.784,994.13
usp000c6ad,2003-08-30 20:32:42.680000+00:00,2.5,mblg,21.6,28.115,-16.137,178.206,1002.127
usp000c6af,2003-08-30 20:52:56.370000+00:00,1.2,mblg,20.0,28.137,-16.157,175.575,4410.239
usp000c6b2,2003-08-31 00:58:21.920000+00:00,2.2,mblg,27.3,28.101,-16.138,178.615,1418.787
usp000c6ce,2003-08-31 10:39:59.590000+00:00,2.5,mblg,24.6,28.133,-16.15,176.366,991.778
usp000c6ft,2003-09-01 20:01:18.530000+00:00,1.4,mblg,20.0,28.134,-16.15,176.331,3518.275
usp000c6ps,2003-09-04 02:08:15.690000+00:00,1.1,mblg,0.0,28.145,-16.141,176.799,4982.875
usp000c7zh,2003-09-19 05:48:16.450000+00:00,1.5,mblg,0.0,28.311,-15.961,189.442,3368.811
usp000c81k,2003-09-19 21:59:53.610000+00:00,1.4,mblg,0.0,28.364,-16.485,137.935,2752.169
usp000c8cg,2003-09-23 05:48:26.940000+00:00,1.5,mblg,27.0,28.213,-16.096,178.931,3181.896
usp000c8dc,2003-09-23 12:22:26.890000+00:00,1.8,mblg,21.6,28.138,-16.216,170.039,2140.664
usp000c8hd,2003-09-24 22:13:21.120000+00:00,1.8,mblg,23.6,28.293,-16.349,152.69,1922.249
usp000c950,2003-09-30 10:04:22.490000+00:00,1.7,mblg,30.2,28.093,-16.284,165.438,2336.868
usp000ca18,2003-10-10 00:10:32.250000+00:00,1.2,mblg,0.0,28.216,-16.345,155.339,3901.949
usp000capq,2003-10-18 12:32:13.490000+00:00,1.3,mblg,0.0,28.16,-16.24,167.036,3739.461
usp000cbgk,2003-10-28 22:42:27.270000+00:00,2.9,mblg,0.0,27.964,-15.543,238.894,847.628
usp000cc2q,2003-11-04 21:42:31.610000+00:00,1.7,mblg,26.4,28.106,-16.172,175.278,2475.863
usp000cccn,2003-11-08 18:26:22.500000+00:00,2.5,mblg,0.0,28.118,-16.142,177.635,998.914
usp000cczq,2003-11-16 16:47:18.200000+00:00,1.4,mblg,0.0,28.131,-16.196,172.148,3434.807
usp000cd10,2003-11-16 23:58:19.210000+00:00,2.3,mblg,23.5,28.019,-15.031,285.584,2021.781
usp000cdfj,2003-11-20 05:04:51.010000+00:00,1.0,mblg,0.0,28.112,-16.223,170.331,5386.348
usp000cdn5,2003-11-22 06:20:47.440000+00:00,1.8,mblg,11.0,28.027,-16.167,178.816,2251.159
usp000cexz,2003-12-10 07:01:08.990000+00:00,2.0,mblg,16.9,28.042,-16.174,177.562,1775.622
usp000cf32,2003-12-12 04:22:50.200000+00:00,1.3,mblg,0.0,28.154,-16.346,157.389,3523.509
usp000cfxk,2003-12-24 06:51:00.510000+00:00,1.5,mblg,0.0,27.874,-15.634,233.828,4158.106
usp000cggr,2003-12-29 21:38:57.870000+00:00,1.6,mblg,7.5,28.134,-16.262,165.908,2629.465
usp000ch1m,2004-01-04 02:49:36.580000+00:00,1.8,mblg,0.0,28.117,-16.214,170.981,2152.517
usp000ch9e,2004-01-06 11:05:43.620000+00:00,2.0,mblg,30.0,29.194,-16.546,144.0,1440.004
usp000char,2004-01-07 00:20:51.270000+00:00,1.5,mblg,0.0,28.441,-16.319,152.516,2712.16
usp000chx6,2004-01-15 04:42:54.020000+00:00,2.1,mblg,20.0,28.533,-14.681,311.498,2776.228
usp000cka1,2004-02-03 03:57:49.500000+00:00,2.3,mblg,0.0,29.415,-17.083,117.416,831.24
usp000ckk2,2004-02-06 20:37:31.670000+00:00,1.6,mblg,11.3,28.121,-16.14,177.716,2816.602
usp000cktg,2004-02-09 06:39:12.570000+00:00,1.5,mblg,12.7,28.247,-16.391,150.034,2668.021
usp000ckx8,2004-02-10 21:10:15.050000+00:00,2.5,mblg,27.9,28.025,-16.183,177.44,997.82
usp000cm23,2004-02-12 16:35:37.550000+00:00,1.9,mblg,25.0,28.127,-16.165,175.176,1965.505
usp000cmur,2004-02-23 01:17:42.650000+00:00,1.3,mblg,23.9,28.085,-16.23,170.714,3821.802
usp000cmwu,2004-02-23 21:26:35.030000+00:00,1.5,mblg,8.0,28.227,-16.294,159.792,2841.543
usp000cpyp,2004-03-14 20:10:38.830000+00:00,2.2,mblg,20.4,28.048,-16.138,180.622,1434.735
usp000cq6t,2004-03-17 22:47:54.770000+00:00,1.6,mblg,0.0,28.148,-16.153,175.575,2782.682
usp000cqgb,2004-03-21 01:02:47.490000+00:00,1.2,mblg,0.0,28.134,-16.145,176.798,4440.973
usp000cqpp,2004-03-23 15:05:20.310000+00:00,2.3,mblg,22.0,27.589,-17.969,114.413,809.98
usp000cqx8,2004-03-26 07:03:26.420000+00:00,1.8,mblg,28.2,28.637,-16.178,164.971,2076.86
usp000cr08,2004-03-27 07:05:14.790000+00:00,1.9,mblg,0.0,28.131,-16.162,175.316,1967.073
usp000cr54,2004-03-28 19:29:42.190000+00:00,1.5,mblg,0.0,28.148,-16.142,176.605,3140.532
usp000cs6g,2004-04-10 21:26:22.300000+00:00,1.9,mblg,25.3,27.913,-15.04,287.827,3229.467
usp000cshv,2004-04-15 08:22:58.920000+00:00,2.2,mblg,30.5,28.076,-16.167,176.864,1404.879
usp000ct27,2004-04-21 16:36:31.220000+00:00,1.8,mblg,29.0,28.071,-16.305,164.409,2069.788
usp000ct2d,2004-04-21 18:05:20.130000+00:00,2.2,mblg,9.5,28.304,-16.644,124.445,988.504
usp000ct35,2004-04-22 02:14:53.290000+00:00,1.5,mblg,12.0,28.302,-16.684,120.752,2147.316
usp000ct7r,2004-04-23 18:20:18.680000+00:00,1.7,mblg,0.0,28.051,-16.194,175.367,2477.131
usp000ctc1,2004-04-25 05:35:10.710000+00:00,1.8,mblg,0.0,28.204,-16.71,122.002,1535.916
usp000ctpq,2004-04-28 21:42:42.740000+00:00,1.9,mblg,32.0,27.717,-18.164,103.914,1165.932
usp000ctss,2004-04-30 00:34:02.750000+00:00,1.3,mblg,0.0,28.157,-16.196,171.249,3833.798
usp000ctsw,2004-04-30 01:14:27.860000+00:00,1.6,mblg,16.8,28.162,-16.253,165.753,2627.013
usp000ctu8,2004-04-30 10:46:01.860000+00:00,2.3,mblg,0.0,28.144,-16.14,176.926,1252.542
usp000cu1w,2004-05-03 02:53:02.400000+00:00,2.2,mblg,18.1,27.79,-18.089,94.165,747.976
usp000cu3w,2004-05-03 22:41:30.860000+00:00,2.1,mblg,36.5,27.685,-18.104,105.886,943.706
usp000cu4c,2004-05-04 03:24:29.490000+00:00,2.0,mblg,11.3,28.302,-16.68,121.128,1211.275
usp000cucx,2004-05-07 18:09:32.480000+00:00,2.0,mblg,0.0,27.936,-18.071,77.97,779.699
usp000cusg,2004-05-11 20:31:11.240000+00:00,3.0,mblg,2.7,28.344,-16.732,114.934,363.452
usp000cutj,2004-05-12 03:47:16.680000+00:00,1.5,mblg,15.8,28.134,-16.219,169.902,3021.328
usp000cuww,2004-05-13 06:01:15.210000+00:00,2.2,mblg,26.5,28.044,-16.159,178.855,1420.696
usp000cv97,2004-05-16 23:51:26.920000+00:00,1.0,mblg,13.1,28.255,-16.662,124.417,3934.399
usp000cvah,2004-05-17 07:31:16.060000+00:00,1.5,mblg,0.0,28.329,-16.692,119.157,2118.939
usp000cvaj,2004-05-17 07:32:50.850000+00:00,2.1,mblg,4.7,28.314,-16.726,116.426,1037.644
usp000cvcb,2004-05-17 20:17:31.610000+00:00,1.5,mblg,0.0,28.141,-16.136,177.401,3154.694
usp000cvh3,2004-05-19 01:43:31.030000+00:00,2.1,mblg,0.0,28.171,-16.119,178.018,1586.588
usp000cvnj,2004-05-20 09:32:14.140000+00:00,1.7,mblg,0.0,27.947,-18.064,76.61,1082.151
usp000cw20,2004-05-24 04:02:58.130000+00:00,2.6,mblg,14.1,28.081,-16.184,175.105,877.602
usp000cw62,2004-05-25 10:13:08.140000+00:00,1.8,mblg,0.0,28.111,-16.143,177.79,2238.246
usp000cwrt,2004-05-31 20:13:42.300000+00:00,1.9,mblg,6.7,28.09,-16.245,169.139,1897.769
usp000cx0t,2004-06-03 19:06:26.180000+00:00,1.7,mblg,0.0,28.173,-16.114,178.426,2520.334
